Name,Est Dia in M(min),Est Dia in M(max),Close Approach Date,Relative Velocity km per sec,Miss Dist.(kilometers),Orbiting Body,Hazardous
3703080,127.2198785,284.4722965,1995-01-01,6.115834389,62753692,Earth,TRUE
3723955,146.0679643,326.6178974,1995-01-01,18.11398503,57298148,Earth,FALSE
2446862,231.5021222,517.6544822,1995-01-08,7.590711162,7622911.5,Earth,TRUE
3092506,8.801465209,19.68067451,1995-01-15,11.1738745,42683616,Earth,FALSE
3514799,127.2198785,284.4722965,1995-01-15,9.840831054,61010824,Earth,TRUE
3671135,319.5618867,714.5621017,1995-01-15,10.80884396,58759768,Earth,FALSE
2495323,319.5618867,714.5621017,1995-01-15,10.80884159,58759532,Earth,FALSE
2153315,384.1978911,859.0926012,1995-01-22,24.42188399,19324928,Earth,FALSE
2162463,732.0739893,1636.967205,1995-01-22,17.37378384,53598364,Earth,FALSE
2306383,133.2155667,297.8790628,1995-01-22,12.89960972,22709816,Earth,TRUE
3444370,88.01465209,196.8067451,1995-01-22,22.42136631,30075154,Earth,FALSE
3448992,18.38886721,41.1187571,1995-01-22,17.27461146,64479012,Earth,FALSE
3611400,26.58,59.43468684,1995-01-22,12.11850995,53825524,Earth,FALSE
2162854,402.3045798,899.5803882,1995-02-08,10.82992629,64425220,Earth,FALSE
3446396,461.9074603,1032.856481,1995-02-08,39.60532791,45023444,Earth,FALSE
3764806,24.24124811,54.20507863,1995-02-08,25.21128858,74196656,Earth,FALSE
3314405,265.8,594.3468684,1995-02-15,3.089003929,35727636,Earth,FALSE
3426410,167.7084622,375.0075218,1995-02-15,20.01924193,71520800,Earth,FALSE
3666785,92.16265485,206.0819612,1995-02-15,8.526320844,69003400,Earth,FALSE
3702321,76.65755735,171.4115092,1995-02-15,7.919524045,16047525,Earth,FALSE
3719196,16.0160338,35.8129403,1995-02-15,4.655478593,38220508,Earth,FALSE
3447920,201.6299194,450.8582062,1995-02-15,2.164372849,63257484,Earth,FALSE
3005973,121.4940408,271.6689341,1995-02-22,28.41895426,7261686.5,Earth,TRUE
3660308,44.11182,98.63702813,1995-02-22,10.55151977,2952796.75,Earth,FALSE
3348144,44.11182,98.63702813,1995-02-22,17.56490765,64932800,Earth,FALSE
3646046,146.0679643,326.6178974,1995-02-22,19.22316546,15266183,Earth,TRUE
3780693,10.63542812,23.78154024,1995-02-22,7.16414806,31654442,Earth,FALSE
2162173,366.9061375,820.4270649,1995-03-08,13.57630264,52470692,Earth,TRUE
3092312,80.27031673,179.4898848,1995-03-08,11.47029804,7744736.5,Earth,FALSE
3273782,46.19074603,103.2856481,1995-03-08,11.93064253,14592393,Earth,FALSE
3600106,5.064714588,11.32504611,1995-03-08,9.874143162,21946004,Earth,FALSE
3684008,152.9519353,342.0109247,1995-03-08,15.93870716,25865906,Earth,FALSE
3751815,73.20739893,163.6967205,1995-03-08,11.74041348,49843512,Earth,FALSE
2483656,46.19074603,103.2856481,1995-03-08,11.93061192,14592338,Earth,FALSE
3182169,50.64714588,113.2504611,1995-03-15,3.838016764,12937927,Earth,FALSE
2267221,291.4439045,651.6883822,1995-03-22,14.65060718,73819112,Earth,TRUE
2382875,121.4940408,271.6689341,1995-03-22,7.514875357,74676320,Earth,FALSE
2396793,253.8370294,567.5968529,1995-03-22,14.38282119,62975644,Earth,FALSE
2419472,278.3267681,622.3575734,1995-03-22,16.53824927,55719572,Earth,TRUE
3647009,8.801465209,19.68067451,1995-03-22,7.339140833,10631156,Earth,FALSE
3713321,44.11182,98.63702813,1995-03-22,10.59959371,58869008,Earth,FALSE
3747315,11.08038821,24.77650126,1995-03-22,22.82462864,70754448,Earth,FALSE
3771614,137.9605689,308.4892103,1995-03-22,20.37422233,33566916,Earth,FALSE
2312942,921.6265485,2060.819612,1995-04-08,22.96034994,12975059,Earth,FALSE
3170221,13.32155667,29.78790628,1995-04-08,7.516462188,35312740,Earth,FALSE
3601408,461.9074603,1032.856481,1995-04-08,21.53473449,69933392,Earth,FALSE
3772759,6.230960191,13.93285055,1995-04-08,13.59223294,48298924,Earth,FALSE
3409964,183.8886721,411.187571,1995-04-15,8.187885954,57238648,Earth,TRUE
3562320,20.16299194,45.08582062,1995-04-15,14.09120316,40237380,Earth,FALSE
3747992,22.10828104,49.43561926,1995-04-15,11.19950105,34836728,Earth,FALSE
3373683,350.3926411,783.5017643,1995-04-22,9.304865523,5421688.5,Earth,TRUE
3719206,167.7084622,375.0075218,1995-04-22,26.05388051,59935336,Earth,FALSE
3394543,175.6123185,392.6810818,1995-04-22,19.26861257,65708916,Earth,TRUE
2489486,350.3926411,783.5017643,1995-04-22,9.304865524,5421688.5,Earth,TRUE
2356991,441.1182,986.3702813,1995-05-08,14.34253068,33947260,Earth,TRUE
3648769,42.12646106,94.19763057,1995-05-08,10.84353509,46063436,Earth,FALSE
3773650,133.5841639,298.7032712,1995-05-08,15.67869704,29137866,Earth,FALSE
2088959,880.1465209,1968.067451,1995-05-15,36.90278723,46238112,Earth,FALSE
3277704,101.0543415,225.9643771,1995-05-15,15.79708507,27445294,Earth,FALSE
3459306,127.2198785,284.4722965,1995-05-15,20.28945338,30440984,Earth,FALSE
3562321,211.1324448,472.1064988,1995-05-15,19.85485062,22393042,Earth,FALSE
3701883,167.7084622,375.0075218,1995-05-15,24.71825521,51248596,Earth,TRUE
3728898,96.50614696,215.7943048,1995-05-15,11.39660227,34981784,Earth,FALSE
3484042,201.6299194,450.8582062,1995-05-22,15.45541989,16406984,Earth,FALSE
3330689,35.03926411,78.35017643,1995-05-22,14.68517642,57902824,Earth,FALSE
3605319,461.9074603,1032.856481,1995-05-22,19.53617081,51898464,Earth,FALSE
3694462,18.38886721,41.1187571,1995-05-22,4.823898633,60106416,Earth,FALSE
3127399,36.69061375,82.04270649,1995-06-08,11.50824853,3868730.5,Earth,FALSE
3397922,319.5618867,714.5621017,1995-06-08,18.33273398,53124212,Earth,TRUE
3672731,15.29519353,34.20109247,1995-06-08,7.92636157,24354582,Earth,FALSE
3463371,183.8886721,411.187571,1995-06-08,19.66727897,54831432,Earth,FALSE
2484402,319.5618867,714.5621017,1995-06-08,18.33270757,53124064,Earth,TRUE
3776112,200.1497153,447.548369,1995-06-08,17.48135593,48423144,Earth,FALSE
2154244,840.5334021,1879.489824,1995-06-15,16.12549274,45024036,Earth,FALSE
3363380,105.8168859,236.6137501,1995-06-15,13.47523501,9816599,Earth,FALSE
3673983,66.76594135,149.2931834,1995-06-15,4.331719159,14103325,Earth,FALSE
3673919,133.2155667,297.8790628,1995-06-15,16.93829897,46137780,Earth,FALSE
2308242,1332.155667,2978.790628,1995-06-22,13.11454201,6895954,Earth,TRUE
2366746,242.4124811,542.0507863,1995-06-22,11.0655789,73181936,Earth,TRUE
3545558,10.10543415,22.59643771,1995-06-22,12.55217618,18219530,Earth,FALSE
3608823,9.650614696,21.57943048,1995-06-22,12.52653474,55870700,Earth,FALSE
3775092,128.9302951,288.2969041,1995-06-22,12.83532762,47410376,Earth,FALSE
2090416,483.6764882,1081.533507,1995-07-08,24.36345562,67884888,Earth,TRUE
2216523,201.6299194,450.8582062,1995-07-08,8.953169059,20690156,Earth,TRUE
2309728,637.6097899,1425.738833,1995-07-08,15.59463771,57920168,Earth,FALSE
2458418,334.6223745,748.2383761,1995-07-08,31.60773533,61771396,Earth,TRUE
3007951,483.6764882,1081.533507,1995-07-08,32.18140575,35621844,Earth,FALSE
2495829,483.6764882,1081.533507,1995-07-08,32.18140589,35621840,Earth,FALSE
3414393,253.8370294,567.5968529,1995-07-15,18.51752548,48037404,Earth,FALSE
3440397,253.8370294,567.5968529,1995-07-15,31.12855633,71772336,Earth,TRUE
